Source,Target,Type,Weight
직업,예술가,directed,1
예술,예술가,directed,1
예술,무용,directed,1
예술,사운드,directed,1
예술,회화,directed,1
예술,디지털,directed,1
예술,설치,directed,1
예술,행위,directed,1
예술,동작,directed,1
상태,눈에 띄는,directed,1
사람,눈,directed,1
사람,다리,directed,1
사람,팔,directed,1
사람,내장,directed,1
사람,귀걸이,directed,1
사람,코,directed,1
사람,입,directed,1
사람,손,directed,1
의류,헬멧,directed,1
이동수단,오토바이,directed,1
사람,발,directed,1
뷰티,주름,directed,1
공간,공장,directed,1
표현,그물,directed,1
기타,그물,directed,1
연령,아동,directed,1
아동,장난감,directed,1
장난감,레고,directed,1
장난감,블록,directed,1
장난감,모빌,directed,1
공간,시장,directed,1
공간,백화점,directed,1
음식,사과,directed,1
사물,박스,directed,1
장난감,로봇,directed,1
시각,포스터,directed,1
사물,목각인형,directed,1
장난감,인형,directed,1
공부,코딩,directed,1
공부,디자인,directed,1
공부,심리학,directed,1
공부,생물학,directed,1
공부,인공지능,directed,1
시각,아바타,directed,1
공간,음식점,directed,1
직업,환자,directed,1
동작,일어나기,directed,1
동작,잠들기,directed,1
동작,뒤척이기,directed,1
공간,정류장,directed,1
사물,수건,directed,1
사물,자석,directed,1
사물,본드,directed,1
사물,손잡이,directed,1
사물,케이스,directed,1
사물,마스크,directed,1
사물,엽서,directed,1
사물,마우스,directed,1
사물,노트북,directed,1
전자기기,노트북,directed,1
전자기기,아두이노,directed,1
센서,빛,directed,1
센서,거리,directed,1
센서,촉각,directed,1
감각,촉각,directed,1
감각,시각,directed,1
감각,청각,directed,1
감각,미각,directed,1
감각,후각,directed,1
센서,움직임,directed,1
센서,얼굴인식,directed,1
센서,무게측정,directed,1
전자기기,센서,directed,1
아두이노,센서,directed,1
일상,소비,directed,1
일상,운동,directed,1
일상,여가,directed,1
일상,업무,directed,1
소비,쇼핑,directed,1
쇼핑,의류,directed,1
쇼핑,뷰티,directed,1
소비,정보,directed,1
사물,크림,directed,1
사물,캡슐,directed,1
사물,계산기,directed,1
사물,버튼,directed,1
행위,입력하기,directed,1
입력하기,버튼,directed,1
입력하기,음성,directed,1
사물,전화기,directed,1
사물,공,directed,1
사물,인터넷,directed,1
